nom,canton,population,altitude,superficie
Acquaviva,Littoral,1840,12,14.2
Alzipratu,Montagne,95,980,22.7
Bracciolu,Vallée,410,340,9.8
Bucchiniccia,Plateau,260,610,17.5
Caldarella,Littoral,3120,5,11.3
Castagnetu,Vallée,680,420,13.1
Diavulinu,Montagne,38,1180,31.4
Erbaghjolu,Plateau,150,720,19.9
Finosella,Littoral,920,40,8.6
Fiumaltu,Vallée,1230,210,16.0
Ghjuncaghju,Plateau,330,650,12.4
Isulacciu,Littoral,4250,8,21.0
Lavu Neru,Montagne,62,1040,27.3
Muntagnola,Montagne,180,870,24.8
Nuciola,Vallée,540,290,10.5
Ortoli,Plateau,470,580,15.2
Petralba,Littoral,2380,25,18.7
Quarcetu,Vallée,310,380,7.9
Rocca Sarda,Montagne,120,910,29.6
Scandulaghju,Plateau,210,690,14.9
Tuvarelli,Vallée,850,260,12.2
Ulmetu Vecchiu,Plateau,390,540,16.8
Vallecalda,Littoral,1560,60,13.4
Zinzale,Montagne,74,990,25.1
