nom,guilde,niveau,or,pv
Aldric,Lame,7,640,82
Brune,Flèche,4,210,47
Corvin,Grimoire,9,1310,35
Dagna,Ombre,6,890,61
Elior,Lame,2,45,96
Fenna,Grimoire,11,2450,28
Gaspard,Flèche,5,380,73
Hilde,Ombre,8,1120,9
Isaure,Lame,3,130,88
Joris,Grimoire,6,720,54
Kaeli,Flèche,10,1890,66
Lothar,Ombre,1,20,100
Maëlle,Lame,12,3120,41
Nils,Flèche,3,95,79
Ondine,Grimoire,8,1040,22
Piran,Ombre,5,460,58
Quitterie,Lame,9,1310,37
Roderic,Flèche,7,810,6
Solveig,Grimoire,4,270,91
Tancrède,Ombre,10,1720,44
Ulla,Lame,5,520,69
Vadim,Flèche,2,60,93
Wren,Grimoire,7,980,15
Ysolde,Ombre,12,2980,50
